BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,11,FIETS,BATAVUS,ONBEKEND,INTERMEZZO-X N7
SPIJKENISSE,SPIJKENISSE,11,SNORFIETS,ONBEKEND,ONBEKEND,WY50QT-86
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,HEMA,ZWART,RETRO
HOEK VAN HOLLAND,HOEK VAN HOLLAND,11,FIETS,GAZELLE,BLAUW,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,BROMFIETS,FOSTI,ZWART,FT50QT-E.25
NW WESTEN/MIDDELLAND,ROTTERDAM,11,SNORFIETS,PEUGEOT,ONBEKEND,FOX
CROOSWIJK,ROTTERDAM,11,SNORFIETS,BERINI,ONBEKEND,DOLCEVITA 50
MAASSLUIS,MAASSLUIS,11,FIETS,BATAVUS,ZILVERKLEURIG,STACCATO
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,11,FIETS,GAZELLE,WIT,MONTREUX
MARCONIPLEIN,ROTTERDAM,11,BROMFIETS,GILERA,MEERKLEURIG,C36
MARCONIPLEIN,ROTTERDAM,11,FIETS,ONBEKEND,ONBEKEND,NULL
STAD,ROTTERDAM,11,FIETS,GAZELLE,BLAUW,CHAMONIX
NW WESTEN/MIDDELLAND,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,PARIS PLUS
CAPELLE,CAPELLE AAN DEN IJSSEL,11,BROMFIETS,SANTINI,ZWART,FIRENZE
HOEK VAN HOLLAND,HOEK VAN HOLLAND,11,FIETS,GAZELLE,GROEN,0
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,GAZELLE,GRIJS,CAYO
SPIJKENISSE,SPIJKENISSE,11,BROMFIETS,KYMCO,GRIJS,AGILITY 50
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,BABBOE,ZWART,BIG
CROOSWIJK,ROTTERDAM,11,FIETS,GAZELLE,GRIJS,ORANGE XTRA
SCHIEDAM,SCHIEDAM,11,FIETS,BATAVUS,GRIJS,NULL
BARENDRECHT,BARENDRECHT,11,FIETS,GAZELLE,ZWART,OMAFIETS
MARCONIPLEIN,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,PARIS PLUS PARI
ALEXANDER NOORD,ROTTERDAM,11,FIETS,POINTER,BLAUW,HORIZON
OUDE WESTEN,ROTTERDAM,8,FIETS,GAZELLE,BLAUW,NULL
MAASHAVEN,ROTTERDAM,11,FIETS,SPARTA,ZWART,PALLAS 28
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,11,BROMFIETS,PIAGGIO,ONBEKEND,C38
STAD,ROTTERDAM,11,FIETS,GIANT,ZWART,REVEL 4
BARENDRECHT,BARENDRECHT,11,FIETS,BATAVUS,ZWART,OLD DUTCH
SCHIEDAM,SCHIEDAM,11,SCOOTER,MOTORHISPANIA,ONBEKEND,RACING RX
ALEXANDER NOORD,ROTTERDAM,10,BROMFIETS,PIAGGIO,ONBEKEND,PIAGGIO LIBERTY
SPIJKENISSE,SPIJKENISSE,10,BROMFIETS,GILERA,BLAUW,0
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,11,NULL,NULL,NULL,NULL
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,11,FIETS,BATAVUS,ZILVERKLEURIG,0
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,11,FIETS,GAZELLE,WIT,MISS GRACE
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,10,FIETS,ONBEKEND,WIT,DAMES FIETS
HOEK VAN HOLLAND,HOEK VAN HOLLAND,11,FIETS,GAZELLE,GRIJS,ORANGE VV
KRALINGEN,ROTTERDAM,11,FIETS,RALEIGH,ZILVERKLEURIG,HEREN
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,AVENUE,ZILVERKLEURIG,EBT AVENUE BILB
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,7,BROMFIETS,MALAGUTI,ZWART,PHANTOM F12 (45
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,11,FIETS,SPARTA,ZWART,LEOPARD DP61 N3
CROOSWIJK,ROTTERDAM,11,BROMFIETS,PIAGGIO,GRIJS,C44
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,GAZELLE,WIT,XANTA COLLEGE
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,ONBEKEND,ZWART,NULL
NW WESTEN/MIDDELLAND,ROTTERDAM,11,FIETS,GAZELLE,WIT,CHAMONIX XTRA I
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,BATAVUS,BLAUW,DAMES
VLAARDINGEN,VLAARDINGEN,11,FIETS,LIMIT,MEERKLEURIG,NULL
LANSINGERLAND,BERKEL EN RODENRIJS,11,FIETS,POPAL,ZWART,BEACHCRUISER
ALEXANDER NOORD,ROTTERDAM,11,FIETS,SPARTA,CREME,AMAZONE CLAS D5
STAD,ROTTERDAM,11,BROMFIETS,GILERA,ONBEKEND,C36
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,NEXUS,ZWART,7 VERNS
SCHIEDAM,SCHIEDAM,11,SNORFIETS,VESPA,ONBEKEND,SI 25 KM/UUR
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,11,BROMFIETS,MOTORMANIA,ZWART,BELLA50
ALEXANDER ZUID,ROTTERDAM,11,FIETS,BATAVUS,BLAUW,VERONA
SCHIEDAM,SCHIEDAM,11,FIETS,GAZELLE,PAARS,FURORE
STAD,ROTTERDAM,11,FIETS,GIANT,ONBEKEND,COSMO CS 2 BLUE
KRIMPEN,KRIMPEN AAN DEN IJSSEL,11,FIETS,GERMAAN,ZWART,NULL
STAD,ROTTERDAM,11,FIETS,ONBEKEND,GEEL,GEEL MODEL
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,11,FIETS,GAZELLE,BLAUW,ORANGE PLUS
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,HALFORDS,ZWART,NO FUSS
STAD,ROTTERDAM,10,FIETS,ONBEKEND,ZWART,NULL
MAASSLUIS,MAASSLUIS,11,FIETS,KOGA MIYATA,BRUIN,BALANCELADY
MARCONIPLEIN,ROTTERDAM,11,FIETS,ONBEKEND,BLAUW,MOUNTAINBIKE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,GAZELLE,MEERKLEURIG,ALLURE
OUDE WESTEN,ROTTERDAM,11,FIETS,GAZELLE,GEEL,NY CAB
MARCONIPLEIN,ROTTERDAM,11,FIETS,ALTEC,BLAUW,VALENCIA 28'
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,BATAVUS,ROOD,0
STAD,ROTTERDAM,11,FIETS,BATAVUS,ZILVERKLEURIG,STACCATO HN8 AU
ALEXANDER NOORD,ROTTERDAM,11,FIETS,MONTEGO,ZILVERKLEURIG,NULL
SCHIEDAM,SCHIEDAM,11,FIETS,LIMIT,ZWART,VOLKSKRANT
SCHIEDAM,SCHIEDAM,11,FIETS,GAZELLE,ONBEKEND,PARIS PLUS (M)
SPIJKENISSE,SPIJKENISSE,11,FIETS,UNION,BLAUW,0
HOEK VAN HOLLAND,HOEK VAN HOLLAND,11,FIETS,BATAVUS,GRIJS,WEEKEND HN8 DIM
ALEXANDER NOORD,ROTTERDAM,11,BROMFIETS,PIAGGIO,ZWART,C25
CAPELLE,CAPELLE AAN DEN IJSSEL,11,BROMFIETS,PIAGGIO,GRIJS,C25
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,SNORFIETS,KYMCO,ONBEKEND,DJ25
STAD,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,LUZERN PLUS LUZ
KRALINGEN,ROTTERDAM,11,FIETS,PUCH,BLAUW,NULL
OUDE WESTEN,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,CHAMONIX EXCEL
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,GIANT,ZWART,TOURER
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,PARIS PLUS PARI
SPIJKENISSE,HEENVLIET,11,FIETS,GIANT,GROEN,ROAD BIKE /STAD
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,11,FIETS,ONBEKEND,BLAUW,NULL
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,BROMFIETS,BENZHOU,ZWART,50RETRO
VLAARDINGEN,VLAARDINGEN,11,FIETS,BATAVUS,ONBEKEND,INTERM-X SP N7
HELLEVOETSLUIS,HELLEVOETSLUIS,11,FIETS,MATRA,ZILVERKLEURIG,ELAN
STAD,ROTTERDAM,11,FIETS,ONBEKEND,ORANJE,RABOFIETS
KRIMPEN,KRIMPEN AAN DEN IJSSEL,11,BROMFIETS,YAMAHA,ONBEKEND,SA19
NW WESTEN/MIDDELLAND,ROTTERDAM,11,FIETS,PUCH,ZWART,CRUNCH
VLAARDINGEN,VLAARDINGEN,11,FIETS,GAZELLE,BLAUW,JUST FOR YOU ST
BRIELLE/WESTVOORNE,BRIELLE,11,FIETS,BATAVUS,ZWART,XC-24 NICHTBLUE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,LIMIT,ZWART,NO FUSS 28"
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,GAZELLE,BLAUW,NULL
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,BATAVUS,ZWART,O.DUTCH-O R  Z
VLAARDINGEN,VLAARDINGEN,11,FIETS,GAZELLE,WIT,MISS GRACE
STAD,ROTTERDAM,11,FIETS,ONBEKEND,ZWART,ONBEKEND
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,BERINI,BEIGE,DOLCEVITA 50
MAASHAVEN,ROTTERDAM,11,SCOOTER,KYMCO,ONBEKEND,PR 50 A
BARENDRECHT,BARENDRECHT,11,BROMFIETS,PIAGGIO,ONBEKEND,C25
STAD,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,PARIS PLUS PARI
LANSINGERLAND,BERKEL EN RODENRIJS,11,FIETS,SPARTA,GRIJS,MARATHON
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,11,FIETS,BSP,ZWART,SEINE EVO
MARCONIPLEIN,ROTTERDAM,11,FIETS,ONBEKEND,GEEL,NULL
STAD,ROTTERDAM,11,FIETS,MERCURE,CREME,DAMESFIETS
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,ONBEKEND,BLAUW,?
STAD,ROTTERDAM,11,FIETS,GAZELLE,GRIJS,VERSNELLINGEN (
LANSINGERLAND,BERKEL EN RODENRIJS,11,FIETS,GAZELLE,ONBEKEND,ORANGE PLUS ORA
KRIMPEN,KRIMPEN AAN DEN IJSSEL,10,SNORFIETS,TOMOS,GRIJS,A3
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,#N/A,#N/A,#N/A,#N/A
SPIJKENISSE,SPIJKENISSE,11,FIETS,BABBOE,ZWART,BIG, WOEZEL EN
ALEXANDER ZUID,ROTTERDAM,11,FIETS,SPARTA,ONBEKEND,MARATHON 3.0 D5
MAASSLUIS,MAASSLUIS,11,FIETS,ONBEKEND,GROEN,OMA FIETS
OUDE WESTEN,ROTTERDAM,11,FIETS,REFLECTION,ZWART,CLASSIC
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,MONTREUX L.E. M
CAPELLE,CAPELLE AAN DEN IJSSEL,10,FIETS,GIANT,BLAUW,NULL
VLAARDINGEN,VLAARDINGEN,11,FIETS,LOCOMOTIEF,ZWART,NULL
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,ROSSLER,ZWART,CITY BIKE
VLAARDINGEN,VLAARDINGEN,11,FIETS,HOLLANDIA,ZWART,0
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,SPARTA,BRONSKLEURIG,EMOTION C3
SPIJKENISSE,SPIJKENISSE,11,FIETS,MONTEGO,BLAUW,DAMESFIETS
MARCONIPLEIN,ROTTERDAM,11,FIETS,ONBEKEND,GROEN,DIN DEN HAAG
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,8,BROMFIETS,PIAGGIO,WIT,C38
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,CUMBERLAND,ZWART,CLASSIC OMA 28"
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,PIAGGIO,WIT,C25
ALEXANDER NOORD,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,CHAMONIX PLUS C
SCHIEDAM,SCHIEDAM,11,FIETS,GAZELLE,GRIJS,SKYDRIVER
ALEXANDER NOORD,ROTTERDAM,11,SNORFIETS,PIAGGIO,BEIGE,C38
MAASHAVEN,ROTTERDAM,11,BROMFIETS,KILLERBEE,BEIGE,CUSTOM
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,10,BROMFIETS,TOMOS,ZWART,A3
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,GIANT,BLAUW,ESCAPER
VLAARDINGEN,VLAARDINGEN,11,FIETS,SPARTA,BLAUW,0
NW WESTEN/MIDDELLAND,ROTTERDAM,11,FIETS,BSP,BLAUW,BSP SEINE 28" D
SPIJKENISSE,SPIJKENISSE,11,FIETS,GAZELLE,ONBEKEND,ORANGE PLUS ORA
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,FIETS,MONTEGO,PAARS,DIVINE
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,11,FIETS,UNION,MEERKLEURIG,LIBRA D53
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,AUTO,CITROEN,ROOD,BERLINGO
MAASHAVEN,ROTTERDAM,11,BROMFIETS,PIAGGIO,ZWART,C38
HELLEVOETSLUIS,HELLEVOETSLUIS,11,FIETS,ZUIDERZEE,ZWART,NULL
STAD,ROTTERDAM,11,FIETS,PEUGEOT,GROEN,NULL
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,HOLLANDIA,MEERKLEURIG,ACTION
BARENDRECHT,BARENDRECHT,11,FIETS,SPARTA,ZWART,MOEDERFIETS
NW WESTEN/MIDDELLAND,ROTTERDAM,11,BROMFIETS,GENERIC,ONBEKEND,B93
MAASHAVEN,ROTTERDAM,11,BROMFIETS,BERINI,GOUDKLEURIG,25 SIXTIES
BARENDRECHT,BARENDRECHT,11,FIETS,GAZELLE,GRIJS,ORANGE LIM.ED.
BARENDRECHT,BARENDRECHT,11,FIETS,GAZELLE,MEERKLEURIG,NULL
HOEK VAN HOLLAND,HOEK VAN HOLLAND,11,BROMFIETS,PIAGGIO,ONBEKEND,C25
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,BETA,ONBEKEND,BS4
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,11,FIETS,GAZELLE,BLAUW,CITYFIETS
HELLEVOETSLUIS,HELLEVOETSLUIS,11,FIETS,SPARTA,ZILVERKLEURIG,0
VLAARDINGEN,VLAARDINGEN,11,FIETS,GAZELLE,ONBEKEND,CHAMONIX PLUS A
STAD,ROTTERDAM,11,FIETS,KRONAN,ZWART,PERFECT
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,FIETS,GAZELLE,GRIJS,CHAMONIX
STAD,ROTTERDAM,11,FIETS,GAZELLE,ZWART,HEAVY DUTY NL
SPIJKENISSE,SPIJKENISSE,11,FIETS,CUMBERLAND,MEERKLEURIG,NULL
ALEXANDER NOORD,ROTTERDAM,11,FIETS,ONBEKEND,BLAUW,ONBEKEND
SCHIEDAM,SCHIEDAM,11,FIETS,MONTEGO,BLAUW,VILLIGER
CROOSWIJK,ROTTERDAM,11,FIETS,ONBEKEND,WIT,OMAFIETS
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,FIETS,GAZELLE,BLAUW,NULL
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,11,FIETS,WE THE PEOPLE,ZWART,0
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,PIAGGIO,ZWART,VESPINO F18
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,FIETS,BSP,ZWART,NULL
KRALINGEN,ROTTERDAM,11,FIETS,BATAVUS,ZWART,1-2 HAVE
STAD,ROTTERDAM,11,FIETS,HOLLANDIA,ZWART,STADSFIETS
SCHIEDAM,SCHIEDAM,12,FIETS,SPARTA,ONBEKEND,0
VLAARDINGEN,VLAARDINGEN,11,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE
RIDDERKERK,RIDDERKERK,11,BROMFIETS,PEUGEOT,WIT,SPEEDFIGHT
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,11,BROMFIETS,PIAGGIO,ONBEKEND,PUCH NRG-RST
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,KYMCO,ZWART,SA10
SCHIEDAM,SCHIEDAM,10,FIETS,RALEIGH,GRIJS,28" PA ELAN 8G
MAASSLUIS,MAASSLUIS,11,FIETS,ALDO,BLAUW,OMAFIETS
KRALINGEN,ROTTERDAM,11,BROMFIETS,PIAGGIO,ZWART,C25
SCHIEDAM,SCHIEDAM,11,SNORFIETS,TOMOS,ROOD,A35-HDA
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,BATAVUS,BLAUW,VERONA
MARCONIPLEIN,ROTTERDAM,11,FIETS,CORTINA,BEIGE,ROOTS
KRIMPEN,KRIMPEN AAN DEN IJSSEL,11,FIETS,GAZELLE,BLAUW,OMAFIETS
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,GAZELLE,ZWART,NULL
BINNENROTTE/OUDE HAVEN,ROTTERDAM,10,FIETS,AVENUE,GRIJS,BALERO
SCHIEDAM,SCHIEDAM,11,FIETS,LIMIT CLASSIC,ZWART,OMA DELUXE 28"9
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,11,FIETS,ONBEKEND,ROZE,NULL
RIDDERKERK,RIDDERKERK,11,FIETS,BATAVUS,MEERKLEURIG,VERONA-X
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,BROMFIETS,PEUGEOT,BLAUW,VIVACITY
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,UNION,BLAUW,NULL
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,BROMFIETS,ZNEN,GRIJS,ZN50QT-A
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,BROMFIETS,PEUGEOT,ROOD,FOX
BRIELLE/WESTVOORNE,BRIELLE,8,BROMFIETS,VESPA,WIT,GRILLO
SCHIEDAM,SCHIEDAM,11,FIETS,GAZELLE,GRIJS,ORANGE LIMITED
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,SPARTA,WIT,GRANNY DELFTS B
LANSINGERLAND,BERGSCHENHOEK,11,BROMFIETS,KYMCO,ZWART,PR 50 A
ALBRANDSWAARD,POORTUGAAL,11,FIETS,RALEIGH,MEERKLEURIG,963SEPTEMBER 10
VLAARDINGEN,VLAARDINGEN,12,FIETS,RALEIGH,BLAUW,NULL
VLAARDINGEN,VLAARDINGEN,12,BROMFIETS,PEUGEOT,ZWART,VIVACITY
ALEXANDER NOORD,ROTTERDAM,11,FIETS,GAZELLE,GRIJS,GAZELLE DAMESFI
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,JUNCKER,GRIJS,DAMESFIETS
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,11,FIETS,KOGA,GRIJS,PROMINENCE
CAPELLE,CAPELLE AAN DEN IJSSEL,12,BROMFIETS,TOMOS,ONBEKEND,A2
STAD,ROTTERDAM,12,FIETS,BATAVUS,ONBEKEND,BELCANTO LN8 BR
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,11,BROMFIETS,GILERA,ROOD,C46
OUDE WESTEN,ROTTERDAM,11,FIETS,ONBEKEND,0,NULL
ALEXANDER ZUID,ROTTERDAM,11,FIETS,SPARTA,BLAUW,SPARTA MET
STAD,ROTTERDAM,12,FIETS,GAZELLE,ONBEKEND,FUENTE PLUS INN
MAASHAVEN,ROTTERDAM,11,BROMFIETS,PEUGEOT,ONBEKEND,VIVACITY
HELLEVOETSLUIS,HELLEVOETSLUIS,12,FIETS,JAN JANSSEN,GRIJS,HEREN HYBRYDE
MAASSLUIS,MAASSLUIS,11,FIETS,ONBEKEND,ZWART,0
MAASSLUIS,MAASSLUIS,11,FIETS,GAZELLE,GRIJS,MEDEO ALU VV V-
LANSINGERLAND,BERKEL EN RODENRIJS,11,FIETS,BATAVUS,MEERKLEURIG,0
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,FIETS,CORTINA,ZWART,NULL
NW WESTEN/MIDDELLAND,ROTTERDAM,12,FIETS,LIMIT,ZWART,NO FUSS 28"ZW N
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,FIETS,GAZELLE,GRIJS,ECLIPSE ECLIPSE
CROOSWIJK,ROTTERDAM,11,FIETS,FOCUS,ROOD,VARIADO 2010
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,12,FIETS,ONBEKEND,ORANJE,NULL
VLAARDINGEN,VLAARDINGEN,12,FIETS,SPARTA,ONBEKEND,ELOBIKE E-MOTIO
NW WESTEN/MIDDELLAND,ROTTERDAM,11,FIETS,POINTER,MEERKLEURIG,ARENA
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,SNORFIETS,SYM,ROOD,AW05W
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,9,BROMFIETS,YAMAHA,ZWART,SH 50
STAD,ROTTERDAM,12,FIETS,RALEIGH,WIT,STRIKE TRENDY
BRIELLE/WESTVOORNE,ROCKANJE,12,FIETS,RALEIGH,BLAUW,NULL
CAPELLE,CAPELLE AAN DEN IJSSEL,12,FIETS,GAZELLE,GRIJS,ORANGE
MAASHAVEN,ROTTERDAM,11,#N/A,#N/A,#N/A,#N/A
SCHIEDAM,SCHIEDAM,12,FIETS,GAZELLE,ZILVERKLEURIG,FUORE
SPIJKENISSE,HEENVLIET,12,FIETS,GAZELLE,WIT,NULL
SCHIEDAM,SCHIEDAM,12,FIETS,GAZELLE,ONBEKEND,MEDEO LITE MEDE
VLAARDINGEN,VLAARDINGEN,12,FIETS,BATAVUS,MEERKLEURIG,CAYUCA
LANSINGERLAND,BERKEL EN RODENRIJS,11,FIETS,SPARTA,GEEL,AMAZONE
ALEXANDER ZUID,ROTTERDAM,12,SNORFIETS,PIAGGIO,BLAUW,C25
BINNENROTTE/OUDE HAVEN,ROTTERDAM,12,FIETS,ONBEKEND,GRIJS,NULL
LANSINGERLAND,BERKEL EN RODENRIJS,12,FIETS,GAZELLE,BLAUW,IMPALA
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,12,FIETS,GAZELLE,ROZE,M. GRACE D54
STAD,ROTTERDAM,12,FIETS,GAZELLE,ONBEKEND,ECLIPSE  L.E.
SPIJKENISSE,SPIJKENISSE,12,FIETS,0,0,0
VLAARDINGEN,VLAARDINGEN,11,FIETS,SPARTA,ZILVERKLEURIG,0
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,BROMFIETS,VOM,ONBEKEND,BELLA MILANO
ALEXANDER ZUID,ROTTERDAM,12,BROMFIETS,PIAGGIO,ZWART,C38
OUDE WESTEN,ROTTERDAM,12,FIETS,GAZELLE,GROEN,STADSFIETS
SCHIEDAM,SCHIEDAM,12,FIETS,GAZELLE,ONBEKEND,ORANGE EXCELL I
BARENDRECHT,BARENDRECHT,12,FIETS,GAZELLE,BLAUW,ORANGESBY
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,12,#N/A,#N/A,#N/A,#N/A
ALEXANDER NOORD,ROTTERDAM,12,SNORFIETS,VESPA,WIT,PIAGGIO C25
RIDDERKERK,RIDDERKERK,12,FIETS,GAZELLE,ONBEKEND,ECLIPSE ECLIPSE
ALEXANDER ZUID,ROTTERDAM,12,FIETS,BATAVUS,GROEN,0
MAASHAVEN,ROTTERDAM,12,BROMFIETS,TOMOS,MEERKLEURIG,A3
BINNENROTTE/OUDE HAVEN,ROTTERDAM,11,FIETS,GAZELLE,ONBEKEND,BASIC REMNAAF
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,FIETS,GAZELLE,GRIJS,ECLIPSE L.E.
SCHIEDAM,SCHIEDAM,12,FIETS,RALEIGH,GRIJS,ELAN
MAASSLUIS,MAASSLUIS,12,FIETS,SPARTA,BLAUW,NULL
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,12,BROMFIETS,PEUGEOT,ZWART,SPEED FIGHT 45
VLAARDINGEN,VLAARDINGEN,12,FIETS,GAZELLE,MEERKLEURIG,ORANGE
VLAARDINGEN,VLAARDINGEN,12,FIETS,GIANT,ONBEKEND,CENTRO CS 2 LDS
KRIMPEN,KRIMPEN AAN DEN IJSSEL,11,FIETS,ALTRA,BLAUW,DISCOVERY
ALEXANDER ZUID,ROTTERDAM,12,FIETS,PEUGEOT,MEERKLEURIG,NULL
KRALINGEN,ROTTERDAM,12,FIETS,GOUDEN LEEUW,ZWART,OMA
KRALINGEN,ROTTERDAM,12,FIETS,BATAVUS,BLAUW,WEEKEND X48 N8
CAPELLE,CAPELLE AAN DEN IJSSEL,11,FIETS,RAMBLER,GROEN,NULL
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,FIETS,UNION,ZWART,CLAS OMA 3 SPD
CAPELLE,CAPELLE AAN DEN IJSSEL,12,FIETS,PUCH,BLAUW,LIMITED
BARENDRECHT,BARENDRECHT,12,FIETS,GAZELLE,GRIJS,NULL
SCHIEDAM,SCHIEDAM,12,FIETS,GAZELLE,ONBEKEND,ORANGE PLUS TRO
CAPELLE,CAPELLE AAN DEN IJSSEL,12,FIETS,GAZELLE,BLAUW,FUROR
ALEXANDER NOORD,ROTTERDAM,6,FIETS,GAZELLE,ONBEKEND,66 DEGREES LADY
SCHIEDAM,SCHIEDAM,12,FIETS,KOGA,GRIJS,LIGHTRUNNERLADY
SPIJKENISSE,SPIJKENISSE,11,FIETS,GAZELLE,MEERKLEURIG,CHAMONIX
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,12,FIETS,GAZELLE,ONBEKEND,CHAM EXCE VV
RIDDERKERK,RIDDERKERK,12,FIETS,GAZELLE,BLAUW,BAHIA
STAD,ROTTERDAM,11,FIETS,GAZELLE,PAARS,NULL
ALEXANDER ZUID,ROTTERDAM,12,FIETS,GAZELLE,ONBEKEND,IMPALA ARTMAP01
ALEXANDER ZUID,ROTTERDAM,12,FIETS,SPECIALIZED,ZWART,HARDROCK
MARCONIPLEIN,ROTTERDAM,12,FIETS,ONBEKEND,ZWART,OMAFIETS OUD BA
